Título,Estrelas
Shrek,3.0
Divertida Mente,5.0
Harry Potter e as Relíquias da Morte - Parte 2,5.0
O Senhor dos Anéis,5.0
Os Goonies,5.0
Ratatouille,5.0
Spotlight: Segredos Revelados,4.0
Mad Max: Estrada da Fúria,4.0
WALL-E,4.0
Up,4.0
Jurassic Park,5.0
Rock of Ages - O Filme,5.0
Guerra nas Estrelas,5.0
Garota Exemplar,4.0
Matrix,5.0
Os Vingadores - The Avengers,4.0
Harry Potter e as Relíquias da Morte - Parte 2,5.0
10 Coisas que Eu Odeio em Você,3.0
WALL-E,5.0
Harry Potter e as Relíquias da Morte - Parte 2,4.0
O Senhor dos Anéis,5.0
A Lista de Schindler,5.0
Animais Fantásticos e Onde Habitam,5.0
O Senhor dos Anéis,5.0
Garota Exemplar,5.0
Her,5.0
Mad Max: Estrada da Fúria,5.0
Spotlight: Segredos Revelados,4.0
10 Coisas que Eu Odeio em Você,4.0
Avatar,4.0
12 Anos de Escravidão,4.0
Batman: O Cavaleiro das Trevas,5.0
Guerra nas Estrelas,3.0
Divertida Mente,5.0
Up,5.0
10 Coisas que Eu Odeio em Você,5.0
Avatar,2.0
Batman: O Cavaleiro das Trevas,3.0
E.T.,4.0
Garota Exemplar,5.0
Hannibal,5.0
Her,4.0
Invocação do Mal,4.0
Mad Max: Estrada da Fúria,5.0
Matrix,1.0
Moulin Rouge!,5.0
O Show de Truman,5.0
Os Vingadores - The Avengers,3.0
Piratas do Caribe - A Maldição do Pérola Negra,3.0
Transformers,2.0
Up,3.0
WALL-E,5.0
A Teoria de Tudo,5.0
Cidade de Deus,5.0
Spotlight: Segredos Revelados,3.0
Harry Potter e as Relíquias da Morte - Parte 2,4.0
Matrix,5.0
Os Vingadores - The Avengers,4.0
Piratas do Caribe - A Maldição do Pérola Negra,5.0
Ratatouille,3.0
Invocação do Mal,3.0
O Show de Truman,5.0
Mad Max: Estrada da Fúria,5.0
Divertida Mente,5.0
Batman: O Cavaleiro das Trevas,5.0
Mad Max: Estrada da Fúria,5.0
Os Vingadores - The Avengers,5.0
Cidade de Deus,4.0
Matrix,5.0
Animais Fantásticos e Onde Habitam,5.0
10 Coisas que Eu Odeio em Você,3.0
12 Anos de Escravidão,4.0
A Lista de Schindler,5.0
A Teoria de Tudo,3.0
Avatar,4.0
Batman: O Cavaleiro das Trevas,5.0
Cidade de Deus,5.0
Coração Valente,5.0
Divertida Mente,4.0
E.T.,5.0
Guerra nas Estrelas,5.0
Hannibal,5.0
Harry Potter e as Relíquias da Morte - Parte 2,5.0
Her,4.0
Mad Max: Estrada da Fúria,5.0
Matrix,5.0
Moulin Rouge!,5.0
O Poderoso Chefão,5.0
O Show de Truman,5.0
Os Miseráveis,5.0
Batman: O Cavaleiro das Trevas,5.0
Divertida Mente,4.0
Invocação do Mal,5.0
Mad Max: Estrada da Fúria,5.0
O Senhor dos Anéis,5.0
A Lista de Schindler,5.0
12 Anos de Escravidão,4.0
A Teoria de Tudo,5.0
Animais Fantásticos e Onde Habitam,5.0
Avatar,5.0
E.T.,5.0
Harry Potter e as Relíquias da Morte - Parte 2,5.0
Jurassic Park,5.0
Transformers,5.0
Ratatouille,3.0
A Teoria de Tudo,4.0
Divertida Mente,4.0
Jurassic Park,5.0
Zootopia,5.0
filme,0.0
matrix,5.0
